name,latitude,longitude
1,-12.2920907,131.2889247
2,-12.30464703,131.2911376
3,-12.32205928,131.2794159
4,-12.33156578,131.2696257
5,-12.33214133,131.2696765
6,-12.34075129,131.2688619
7,-12.34493321,131.2715857
8,-12.33677448,131.27793
9,-12.34028269,131.277408
10,-12.3410873,131.2817516
11,-12.34501475,131.2795014
12,-12.36377321,131.2888864
13,-12.36661121,131.2903933
14,-12.36921327,131.2911893
15,-12.3768561,131.299966
16,-12.37690475,131.3051744
17,-12.38065727,131.3080086
18,-12.38070821,131.3080195
19,-12.38358431,131.3104763
20,-12.38470988,131.3088085
21,-12.38554985,131.311122
22,-12.38143799,131.3145977
23,-12.3812871,131.3173288
24,-12.37793349,131.3199714
25,-12.38139191,131.3246584
26,-12.38433751,131.3282087
27,-12.38433751,131.3282087
28,-12.39359559,131.325164
29,-12.39520287,131.3227191
30,-12.39606462,131.3155083
31,-12.39330139,131.3128654
32,-12.39341837,131.3122174
33,-12.39297478,131.3109846
34,-12.39378196,131.3075761
35,-12.3946366,131.3066964
36,-12.39804766,131.3052295
37,-12.40246899,131.3092347
38,-12.40252316,131.3092692
39,-12.40507475,131.3147852
40,-12.4075371,131.315832
41,-12.41079882,131.316989
42,-12.41538172,131.3141416
43,-12.41410913,131.3127055
44,-12.41542263,131.3100712
45,-12.41369305,131.3078129
46,-12.41434802,131.3071398
47,-12.4130962,131.3039971
48,-12.41541792,131.3007618
49,-12.41969058,131.300783
50,-12.42391982,131.3008873
51,-12.4239698,131.3009612
52,-12.42514375,131.3006583
53,-12.42599162,131.3013681
54,-12.42435683,131.3021451
55,-12.22252692,131.2408264
56,-12.23608085,131.2615014
57,-12.28710099,131.2791512
58,-12.29148684,131.2832723
59,-12.34557288,131.2712852
60,-12.34556932,131.2712396
61,-12.34338421,131.2638883
62,-12.37579123,131.3039227
63,-12.38115943,131.3079266
64,-12.37879883,131.3238518
65,-12.38282712,131.3274527
66,-12.38844882,131.3282727
67,-12.38894361,131.3262371
68,-12.40004845,131.3067777
69,-12.40106657,131.3067543
70,-12.40493519,131.3118645
71,-12.40830312,131.3167431
72,-12.41385721,131.310555
73,-12.41278233,131.3066473
74,-12.41611598,131.3008292
75,-12.42061932,131.2992259
76,-12.41854871,131.3010279
77,-12.42618791,131.3015823
78,-12.42472492,131.3064911
79,-12.42399565,131.3087293
80,-12.42367275,131.3099651
81,-12.42507996,131.3105588
82,-12.42515086,131.3115958
83,-12.42385234,131.3133799
84,-12.42668641,131.3156857
85,-12.42669439,131.3157499
86,-12.42726224,131.318236
87,-12.43059055,131.3178732
88,-12.43107685,131.3192171
89,-12.43426963,131.3187399
90,-12.4362739,131.3187585
91,-12.43750503,131.3173426
92,-12.43773338,131.3190898
93,-12.43992732,131.318485
94,-12.4417871,131.3214728
95,-12.44035844,131.3246391
96,-12.44025064,131.3246478
97,-12.43731688,131.3245498
98,-12.43729032,131.3246022
99,-12.43508597,131.3258963
100,-12.43359241,131.327295
101,-12.43321268,131.3278487
102,-12.43282542,131.3286114
103,-12.43237311,131.3298654
104,-12.4337169,131.3300813
105,-12.4328906,131.3308492
106,-12.43361068,131.3326535
107,-12.43370102,131.3366662
108,-12.43372277,131.3366854
109,-12.43439153,131.3377091
110,-12.43441598,131.3377424
111,-12.43482518,131.3382594
112,-12.43568096,131.3390909
113,-12.43568096,131.3390909
114,-12.43571186,131.3390699
115,-12.43752027,131.3409034
116,-12.43754065,131.3409106
117,-12.43864575,131.340015
118,-12.43864575,131.340015
119,-12.43837006,131.3414441
120,-12.43960484,131.3419546
121,-12.44292177,131.3404
122,-12.44550789,131.3398396
123,-12.4451389,131.338639
124,-12.44625462,131.3362473
125,-12.4452073,131.3358298
126,-12.44339493,131.3332932
127,-12.44339341,131.3332679
128,-12.44284178,131.3315379
129,-12.44273228,131.3297728
130,-12.44451287,131.3275917
131,-12.44378772,131.3257665
132,-12.44617489,131.324928
133,-12.44788637,131.3236717
134,-12.44857505,131.3219691
135,-12.45090626,131.3216442
136,-12.45232587,131.3218432
137,-12.45327369,131.3226005
138,-12.4543393,131.3224522
139,-12.4558912,131.3236645
140,-12.4558912,131.3236645
141,-12.45688894,131.3247547
142,-12.45715249,131.3251716
143,-12.45640518,131.3273343
144,-12.4576862,131.3276848
145,-12.45703693,131.3279896
146,-12.45709518,131.331237
147,-12.45530302,131.3318988
148,-12.45529335,131.3319163
149,-12.45622784,131.3326509
150,-12.45510322,131.3330168
151,-12.45504762,131.3330301
152,-12.45438616,131.3327977
153,-12.45432127,131.3336034
154,-12.45293872,131.3334806
155,-12.45290418,131.3334932
156,-12.45197371,131.334124
157,-12.45174945,131.3354398
158,-12.4488598,131.3363759
159,-12.4499053,131.3372113
160,-12.44824303,131.3376939
161,-12.44823045,131.3377753
162,-12.44805839,131.3403919
163,-12.44807042,131.3404234
164,-12.44859664,131.3408947
165,-12.44861908,131.3408868
166,-12.44944452,131.3405983
167,-12.44945044,131.3406179
168,-12.4499938,131.3424848
169,-12.45085937,131.3419697
170,-12.45214218,131.3417629
171,-12.45562093,131.3398774
172,-12.45836677,131.3362193
173,-12.45924123,131.3359761
174,-12.46023253,131.3358032
175,-12.4607627,131.3361442
176,-12.46196053,131.3375581
177,-12.46300827,131.336412
178,-12.46300827,131.336412
179,-12.46347421,131.33674
180,-12.46315317,131.3381798
181,-12.46490213,131.3386044
182,-12.46533777,131.3405316
183,-12.46493619,131.3418223
184,-12.46328077,131.3445151
185,-12.46327384,131.3445315
186,-12.46222444,131.3436844
187,-12.46272288,131.3456439
188,-12.46227866,131.3476487
189,-12.46096897,131.347841
190,-12.46219943,131.3522976
191,-12.46223284,131.3523663
192,-12.46215096,131.3528757
193,-12.46334521,131.3533875
194,-12.46337575,131.3533848
195,-12.46419698,131.3541868
196,-12.46492073,131.3546288
197,-12.46575873,131.3548984
198,-12.46649788,131.3549165
199,-12.466504,131.3549095
200,-12.466504,131.3549095
201,-12.4670215,131.3547028
202,-12.4696185,131.353054
203,-12.46962052,131.3530448
204,-12.47008729,131.3520221
205,-12.4689578,131.35101
206,-12.4701036,131.3510678
207,-12.47032421,131.3468432
208,-12.47172817,131.3466079
209,-12.47125495,131.3451815
210,-12.47130656,131.3451474
211,-12.47487233,131.342482
212,-12.47542091,131.3430557
213,-12.47729905,131.3430283
214,-12.47782577,131.3420834
215,-12.47963992,131.3425238
216,-12.47963893,131.3425698
217,-12.48070948,131.3436783
218,-12.47966292,131.3425051
219,-12.48125828,131.3449764
220,-12.48260396,131.3466627
221,-12.48262789,131.3466801
222,-12.4827991,131.3476189
223,-12.4827983,131.347689
224,-12.48228893,131.348176
225,-12.48294387,131.3487472
226,-12.48264908,131.3503478
227,-12.48166687,131.3512262
228,-12.4802379,131.3506057
229,-12.4802379,131.3506057
230,-12.47863465,131.3515419
231,-12.47912308,131.3525774
232,-12.47653217,131.353362
233,-12.47653217,131.353362
234,-12.47627295,131.3540901
235,-12.47561064,131.3549434
236,-12.47598395,131.3560137
237,-12.47596799,131.3560325
238,-12.47524336,131.3585108
239,-12.47492697,131.3608136
240,-12.47497468,131.363334
241,-12.47497778,131.3633502
242,-12.47498165,131.3633672
243,-12.47384385,131.3638597
244,-12.47398258,131.3648475
245,-12.47475229,131.3671786
246,-12.47476098,131.3671832
247,-12.47621288,131.3673376
248,-12.47710582,131.3686617
249,-12.47810219,131.3687739
250,-12.47808425,131.368829
251,-12.47900178,131.3688306
252,-12.48023557,131.3697699
253,-12.47996574,131.3682244
254,-12.48078414,131.3662364
255,-12.48080485,131.3662267
256,-12.48250858,131.3655078
257,-12.48138488,131.364644
258,-12.48212477,131.3633264
259,-12.48367889,131.3635377
260,-12.48454186,131.3613519
261,-12.48668934,131.3619479
262,-12.48670216,131.3619384
263,-12.48764412,131.3617937
264,-12.48832811,131.3618095
265,-12.48920729,131.3619244
266,-12.49111324,131.3615173
267,-12.49320109,131.3650719
268,-12.49318553,131.3651167
269,-12.49311629,131.3653938
270,-12.49187815,131.3647432
271,-12.491164,131.3673573
272,-12.49116178,131.3673845
273,-12.49055428,131.3698861
274,-12.48888744,131.3723613
275,-12.49014361,131.3736285
276,-12.49013421,131.373755
277,-12.4915617,131.3771379
278,-12.49140478,131.3787289
279,-12.49528622,131.3810685
280,-12.49527421,131.3810237
281,-12.49698163,131.3813002
282,-12.49699922,131.3813012
283,-12.50114913,131.3784871
284,-12.50229924,131.3771352
285,-12.50282171,131.3765097
286,-12.50597526,131.3752814
287,-12.50738836,131.3753185
288,-12.5103292,131.3768668
289,-12.51089251,131.3773702
290,-12.51208853,131.3775825
291,-12.51183212,131.3787452
292,-12.51222792,131.3799854
293,-12.51257915,131.3808459
294,-12.51180173,131.382393
295,-12.51096582,131.3847778
296,-12.50968473,131.3860392
297,-12.50928934,131.3877557
298,-12.50759603,131.3878784
299,-12.50716781,131.3887377
300,-12.5062763,131.3913497
301,-12.50623118,131.3918135
302,-12.50838447,131.3941955
303,-12.50914504,131.3951324
304,-12.50996512,131.394494
305,-12.51089216,131.3942022
306,-12.51122704,131.3951812
307,-12.51550181,131.3930459
308,-12.51550181,131.3930459
309,-12.51621148,131.3920734
310,-12.51764691,131.3905403
311,-12.51889757,131.3898124
312,-12.52068527,131.3882563
313,-12.5210926,131.3891649
314,-12.52347606,131.3884105
315,-12.52384407,131.3902082
316,-12.52476339,131.3918211
317,-12.52908465,131.3956594
318,-12.52908465,131.3956594
319,-12.53106739,131.3963158
320,-12.53473429,131.3954921
321,-12.53738277,131.3950979
322,-12.53895827,131.395813
323,-12.53938768,131.3945601
324,-12.54074996,131.394044
325,-12.54084745,131.3940712
326,-12.54219378,131.3935751
327,-12.54341417,131.3941225
328,-12.54339412,131.3941225
329,-12.54402346,131.3922859
330,-12.54540554,131.3882857
331,-12.54540638,131.3883055
332,-12.54418078,131.3866572
333,-12.54530499,131.3858759
334,-12.54556855,131.3844497
335,-12.54628582,131.3823547
336,-12.54629674,131.3823132
337,-12.5466856,131.3792734
338,-12.54669648,131.3792545
339,-12.54875279,131.3779094
340,-12.54875279,131.3779094
341,-12.54878902,131.3777954
342,-12.54931636,131.3770399
343,-12.54988359,131.3762362
344,-12.55023434,131.3743141
345,-12.55115659,131.3734886
346,-12.55218652,131.3732844
347,-12.55277162,131.3733141
348,-12.5533619,131.373585
349,-12.55343399,131.3750041
350,-12.5543725,131.3760833
351,-12.55557822,131.3776258
352,-12.55597812,131.3787446
353,-12.55717604,131.3812191
354,-12.55710646,131.3829493
355,-12.56043129,131.3847129
356,-12.56046932,131.3847283
357,-12.56041935,131.3858653
358,-12.41867301,131.3005197
359,-12.42633883,131.3056709
360,-12.42629202,131.3057031
361,-12.4262591,131.3057121
362,-12.44045228,131.3222697
363,-12.44029421,131.3246516
364,-12.43521513,131.3268297
365,-12.4343191,131.3266315
366,-12.43624746,131.3397257
367,-12.43962118,131.3419544
368,-12.44551968,131.3397982
369,-12.44455115,131.3354573
370,-12.443531,131.3326036
371,-12.44524025,131.326148
372,-12.44379864,131.3257477
373,-12.44380874,131.3257307
374,-12.45699849,131.3290508
375,-12.45070446,131.3353806
376,-12.4484388,131.3384602
377,-12.4500306,131.3424851
378,-12.45323507,131.3411371
379,-12.45838415,131.3362161
380,-12.46197805,131.3375701
381,-12.46196955,131.3467807
382,-12.46493597,131.3546168
383,-12.46962263,131.3530347
384,-12.46962416,131.3530206
385,-12.46997934,131.3494261
386,-12.47964046,131.3425467
387,-12.48099459,131.3431071
388,-12.47808782,131.3518136
389,-12.47654321,131.3533861
390,-12.47403108,131.3583777
391,-12.4802421,131.3697631
392,-12.48896561,131.3731484
393,-12.49252973,131.3793913
394,-12.4935277,131.379202
395,-12.49366437,131.37939
396,-12.49527893,131.3810669
397,-12.50168289,131.3795059
398,-12.50279552,131.3765221
399,-12.51150708,131.3765603
400,-12.50960436,131.3876269
401,-12.5067884,131.3892294
402,-12.5069419,131.394255
403,-12.51234383,131.3936767
404,-12.51263231,131.39383
405,-12.51445117,131.3938697
406,-12.52691203,131.3943047
407,-12.53473429,131.3954921
408,-12.53735026,131.3950969
409,-12.54339412,131.3941225
410,-12.54338568,131.3941186
411,-12.54417321,131.3866805
412,-12.54877785,131.3778548
413,-12.54896331,131.3760493
414,-12.54899282,131.3760299
415,-12.54904643,131.3759877
416,-12.55598376,131.3787707
417,-12.55718839,131.3812448
418,-12.56289388,131.384842
419,-12.56289388,131.384842
420,-12.56605333,131.3816178
421,-12.56897031,131.3795959
422,-12.5695846,131.3786181
423,-12.57014497,131.3785752
424,-12.57263522,131.3817639
425,-12.57344557,131.3827085
426,-12.57228856,131.3831669
427,-12.57330168,131.3840748
428,-12.57332106,131.3852954
429,-12.57328139,131.3853822
430,-12.57354314,131.3862572
431,-12.57362701,131.3867049
432,-12.57428035,131.3872254
433,-12.57429728,131.3872431
434,-12.5739306,131.3883792
435,-12.57395137,131.3883701
436,-12.5767937,131.3864978
437,-12.57741257,131.3856163
438,-12.57805052,131.3847244
439,-12.57841852,131.3842273
440,-12.57841178,131.3829435
441,-12.57949959,131.3830979
442,-12.5795154,131.3830826
443,-12.57995691,131.382664
444,-12.57930214,131.3820285
445,-12.5797694,131.3814602
446,-12.57979847,131.381453
447,-12.5806134,131.3820323
448,-12.58101805,131.380409
449,-12.58314116,131.3801218
450,-12.58574325,131.3792314
451,-12.58651686,131.3795525
452,-12.58687405,131.3799596
453,-12.58866307,131.381428
454,-12.58773321,131.3818323
455,-12.58820031,131.3828772
456,-12.58858812,131.3837064
457,-12.58927102,131.3848042
458,-12.59031492,131.3847141
459,-12.59236317,131.3860727
460,-12.59236317,131.3860727
461,-12.59237922,131.3860752
462,-12.59239209,131.3860826
463,-12.59242528,131.3861139
464,-12.59233491,131.3870501
465,-12.59361422,131.3848845
466,-12.59464293,131.384139
467,-12.59451559,131.3831705
468,-12.59349858,131.3809247
469,-12.59350556,131.3809152
470,-12.59453255,131.3806331
471,-12.59392346,131.3795004
472,-12.59516714,131.378798
473,-12.59591092,131.3777172
474,-12.59590704,131.377674
475,-12.5965223,131.3770941
476,-12.59656325,131.3770882
477,-12.59711758,131.3766608
478,-12.59636579,131.3761091
479,-12.59814803,131.3757943
480,-12.59840848,131.374725
481,-12.59943481,131.3750702
482,-12.60005213,131.3747915
483,-12.60135097,131.374315
484,-12.60199318,131.3742456
485,-12.60297135,131.3733377
486,-12.60310944,131.3743412
487,-12.60400665,131.3747636
488,-12.60536897,131.3744927
489,-12.60537797,131.3745128
490,-12.60688141,131.3758929
491,-12.60825439,131.3771897
492,-12.60952304,131.3789541
493,-12.61031888,131.37804
494,-12.61034762,131.3780305
495,-12.61277983,131.3776062
496,-12.61347195,131.3767584
497,-12.61353034,131.3767501
498,-12.61482901,131.3750063
499,-12.61570195,131.3746326
500,-12.61541387,131.3746053
501,-12.61542641,131.3745996
502,-12.6154436,131.3745964
503,-12.61623146,131.374066
504,-12.61810584,131.3724356
505,-12.61813444,131.37242
506,-12.61816598,131.3724144
507,-12.61859767,131.3720161
508,-12.62011293,131.3706396
509,-12.62089726,131.3699366
510,-12.6221836,131.3695437
511,-12.62236951,131.3677755
512,-12.62339431,131.3677427
513,-12.6233955,131.3658059
514,-12.62406757,131.364657
515,-12.62543198,131.3625066
516,-12.62672779,131.3620645
517,-12.62673325,131.362033
518,-12.62729605,131.3597335
519,-12.62874686,131.3593637
520,-12.62945733,131.3586628
521,-12.62988707,131.3583628
522,-12.6316841,131.3563988
523,-12.63171366,131.3564058
524,-12.63361323,131.3557834
525,-12.63363609,131.3557669
526,-12.63366481,131.3554271
527,-12.63901017,131.3551265
